                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7021,                 1.8683,                 2.3375,                0.10163,                0.56909,                0.09893,                0.05706,                 1.4638,                 43.771,                 1.4276,             0.00055482,             0.00055482,             0.00055482
                      2,                 1.2509,                0.92131,                 1.1945,                0.09385,                0.80466,                0.09916,                0.07033,                 1.0295,                  79.34,                 1.0804,              0.0010006,              0.0010006,              0.0010006
                      3,                0.99878,                0.77824,                 1.0499,                0.09394,                0.93637,                0.09545,                0.07495,                0.80058,                 106.09,                0.94693,              0.0013363,              0.0013363,              0.0013363
                      4,                 0.8533,                0.71269,                 0.9804,                0.09453,                0.95198,                0.10666,                0.08886,                0.66569,                 111.36,                0.88398,              0.0011719,              0.0011719,              0.0011719
                      5,                0.75884,                0.68229,                0.94501,                0.09449,                0.95309,                0.10242,                 0.0872,                0.59835,                 111.18,                0.86167,              0.0011719,              0.0011719,              0.0011719
                      6,                0.67989,                0.64883,                0.91324,                 0.0945,                0.95298,                0.10157,                0.08943,                0.53225,                  137.5,                0.83456,              0.0010069,              0.0010069,              0.0010069
                      7,                0.61589,                 0.6272,                 0.8932,                0.09527,                0.93979,                0.10535,                0.09365,                0.50124,                 135.12,                0.81931,             0.00084184,             0.00084184,             0.00084184
                      8,                0.58213,                0.61253,                0.87984,                0.10061,                0.72442,                0.10743,                0.09761,                0.44326,                 127.25,                0.80073,              0.0006768,              0.0006768,              0.0006768
                      9,                0.53623,                0.59359,                0.86458,                0.09462,                0.95553,                0.10343,                0.09509,                  0.407,                 137.58,                0.78752,             0.00051177,             0.00051177,             0.00051177
                     10,                0.50684,                0.58162,                 0.8567,                0.09505,                0.94812,                0.09901,                0.09097,                0.41369,                  116.5,                0.79393,             0.00034674,             0.00034674,             0.00034674
